"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Guinea","GIN","Net migration","SM.POP.NETM","","","-13857","","","","","-18000","","","","","-275000","","","","","-353000","","","","","-38000","","","","","162450","","","","","800000","","","","","-246148","","","","","-368004","","","","","-55577","","","","","-10000","","","","",
"Gambia, The","GMB","Net migration","SM.POP.NETM","","","-3232","","","","","118","","","","","9392","","","","","-3380","","","","","19475","","","","","48392","","","","","-14801","","","","","-26418","","","","","-13742","","","","","-13742","","","","","-13476","","","","",
"Guinea-Bissau","GNB","Net migration","SM.POP.NETM","","","-20000","","","","","-7230","","","","","-15000","","","","","-28000","","","","","-30000","","","","","-28000","","","","","-30000","","","","","-30000","","","","","-30000","","","","","-25000","","","","","-10000","","","","",
"Equatorial Guinea","GNQ","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","-70000","","","","","-30000","","","","","65000","","","","","15000","","","","","15000","","","","","20000","","","","","25000","","","","","20000","","","","","20000","","","","",
"Greece","GRC","Net migration","SM.POP.NETM","","","-145243","","","","","-99122","","","","","10771","","","","","330211","","","","","114020","","","","","158887","","","","","464636","","","","","297431","","","","","113586","","","","","80157","","","","","-136299","","","","",
"Grenada","GRD","Net migration","SM.POP.NETM","","","-8968","","","","","-9319","","","","","-11426","","","","","-12867","","","","","-288","","","","","-15001","","","","","-3923","","","","","-4912","","","","","-4132","","","","","-4274","","","","","-4274","","","","",
"Greenland","GRL","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Net migration","SM.POP.NETM","","","-19999","","","","","-40498","","","","","-81000","","","","","-180001","","","","","-220003","","","","","-250001","","","","","-260001","","","","","-280001","","","","","-199998","","","","","-132000","","","","","-120001","","","","",
"Guam","GUM","Net migration","SM.POP.NETM","","","-2905","","","","","-1442","","","","","-2131","","","","","-1511","","","","","109","","","","","99","","","","","1739","","","","","-4116","","","","","-9556","","","","","-9776","","","","","0","","","","",
"Guyana","GUY","Net migration","SM.POP.NETM","","","2132","","","","","-43195","","","","","-52068","","","","","-53966","","","","","-121338","","","","","-134808","","","","","-76825","","","","","-54757","","","","","-58713","","","","","-34129","","","","","-27278","","","","",
"High income","HIC","Net migration","SM.POP.NETM","","","3573488","","","","","3635870","","","","","7145777","","","","","7928492","","","","","7164586","","","","","8638343","","","","","11617847","","","","","14460563","","","","","18497281","","","","","22686636","","","","","15359563","","","","",
"Hong Kong SAR, China","HKG","Net migration","SM.POP.NETM","","","224481","","","","","-177802","","","","","66508","","","","","401993","","","","","82471","","","","","160164","","","","","155840","","","","","550810","","","","","-41256","","","","","44716","","","","","150000","","","","",
"Honduras","HND","Net migration","SM.POP.NETM","","","11000","","","","","-70000","","","","","-50000","","","","","-30000","","","","","-50002","","","","","-70001","","","","","-119999","","","","","-180003","","","","","-149999","","","","","-99997","","","","","-80000","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Net migration","SM.POP.NETM","","","-274305","","","","","-253406","","","","","-1164717","","","","","-3255550","","","","","-5433668","","","","","-2700825","","","","","3134824","","","","","-2697152","","","","","-1375699","","","","","-3090205","","","","","-2672487","","","","",
"Croatia","HRV","Net migration","SM.POP.NETM","","","1854","","","","","-1225","","","","","-18403","","","","","18681","","","","","54369","","","","","26145","","","","","-143579","","","","","-188129","","","","","-2580","","","","","-22532","","","","","-20000","","","","",
"Haiti","HTI","Net migration","SM.POP.NETM","","","-51997","","","","","-58003","","","","","-88000","","","","","-97999","","","","","-124999","","","","","-135001","","","","","-140001","","","","","-144998","","","","","-139999","","","","","-138004","","","","","-150000","","","","",
"Hungary","HUN","Net migration","SM.POP.NETM","","","3984","","","","","-9921","","","","","-5948","","","","","51236","","","","","-119461","","","","","-99736","","","","","96796","","","","","78562","","","","","66163","","","","","95789","","","","","29999","","","","",
"IBRD only","IBD","Net migration","SM.POP.NETM","","","-3448796","","","","","-3229697","","","","","-2615485","","","","","-3602911","","","","","-258148","","","","","-3891565","","","","","-10068642","","","","","-7678840","","","","","-9244701","","","","","-9777726","","","","","-3001551","","","","",
"IDA & IBRD total","IBT","Net migration","SM.POP.NETM","","","-3652592","","","","","-3845741","","","","","-7218833","","","","","-8084895","","","","","-6960001","","","","","-8904613","","","","","-11757598","","","","","-14650120","","","","","-18360665","","","","","-22386319","","","","","-15156043","","","","",
"IDA total","IDA","Net migration","SM.POP.NETM","","","-203796","","","","","-616044","","","","","-4603348","","","","","-4481984","","","","","-6701853","","","","","-5013048","","","","","-1688956","","","","","-6971280","","","","","-9115964","","","","","-12608593","","","","","-12154492","","","","",
"IDA blend","IDB","Net migration","SM.POP.NETM","","","192956","","","","","142301","","","","","39668","","","","","220291","","","","","-194589","","","","","-1002902","","","","","-2870138","","","","","-2509120","","","","","-3373591","","","","","-3916169","","","","","-2758229","","","","",
"Indonesia","IDN","Net migration","SM.POP.NETM","","","-107486","","","","","-40261","","","","","-90360","","","","","-202747","","","","","-49566","","","","","-166738","","","","","-381823","","","","","-344962","","","","","-851310","","","","","-1116994","","","","","-700000","","","","",
"IDA only","IDX","Net migration","SM.POP.NETM","","","-396752","","","","","-758345","","","","","-4643016","","","","","-4702275","","","","","-6507264","","","","","-4010146","","","","","1181182","","","","","-4462160","","","","","-5742373","","","","","-8692424","","","","","-9396263","","","","",
"Isle of Man","IMN","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Net migration","SM.POP.NETM","","","-85382","","","","","-245182","","","","","2118323","","","","","1132181","","","","","483097","","","","","45147","","","","","-677938","","","","","-716900","","","","","-2206411","","","","","-2829378","","","","","-2598218","","","","",
"Not classified","INX","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Net migration","SM.POP.NETM","","","-109734","","","","","-50860","","","","","37331","","","","","53058","","","","","-50745","","","","","-115193","","","","","-10648","","","","","83412","","","","","199949","","","","","198144","","","","","-140001","","","","",
"Iran, Islamic Rep.","IRN","Net migration","SM.POP.NETM","","","-7838","","","","","51755","","","","","77633","","","","","419996","","","","","1969420","","","","","1344377","","","","","-2276004","","","","","615293","","","","","-70307","","","","","-549266","","","","","-300001","","","","",
"Iraq","IRQ","Net migration","SM.POP.NETM","","","-1862","","","","","-6877","","","","","-8587","","","","","-47791","","","","","-199939","","","","","-630184","","","","","-154026","","","","","-17859","","","","","-266320","","","","","-457332","","","","","548666","","","","",
"Iceland","ISL","Net migration","SM.POP.NETM","","","-732","","","","","-2757","","","","","-1061","","","","","-3929","","","","","260","","","","","646","","","","","-1054","","","","","1994","","","","","3894","","","","","8041","","","","","-378","","","","",
"Israel","ISR","Net migration","SM.POP.NETM","","","208759","","","","","72440","","","","","165879","","","","","62546","","","","","2604","","","","","65418","","","","","456923","","","","","245334","","","","","102935","","","","","273635","","","","","19497","","","","",
"Italy","ITA","Net migration","SM.POP.NETM","","","-231607","","","","","-231781","","","","","19396","","","","","164927","","","","","266352","","","","","-10058","","","","","152825","","","","","223974","","","","","1624300","","","","","1006308","","","","","528269","","","","",
